bound_active_params,evidence_reliable,evidence_warning,is_selected_model,model,n_bound_active,probability,probs_reliable_all_models,round,scenario,seed,selected_model,strategy,tracked_correct_model,truth_in_candidate_family
k2_ref;Ea2_J,1,,1,wls,2,1.0,1,1,S1_ideal,8,wls,E,,0
k2_ref;K2_ref,1,,1,wls,2,1.0,1,2,S1_ideal,8,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,8,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,8,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,8,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,8,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,8,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,8,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,1,S1_ideal,9,wls,E,,0
K2_ref,1,,1,wls,1,1.0,1,2,S1_ideal,9,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,9,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,9,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,9,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,9,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,9,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,9,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,10,wls,E,,0
K1_ref;K2_ref,1,,1,wls,2,1.0,1,2,S1_ideal,10,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,10,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,10,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,10,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,10,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,10,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,10,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,11,wls,E,,0
K1_ref;K2_ref,1,,1,wls,2,1.0,1,2,S1_ideal,11,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,11,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,11,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,11,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,11,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,11,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,11,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,12,wls,E,,0
K1_ref;K2_ref,1,,1,wls,2,1.0,1,2,S1_ideal,12,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,3,S1_ideal,12,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,12,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,12,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,12,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,12,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,12,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,1,S1_ideal,13,wls,E,,0
K1_ref;K2_ref,1,,1,wls,2,1.0,1,2,S1_ideal,13,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,13,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,13,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,13,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,13,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,13,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,13,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,14,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,2,S1_ideal,14,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,14,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,14,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,14,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,14,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,14,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,14,wls,E,,0
K1_ref;K2_ref,1,,1,wls,2,1.0,1,1,S1_ideal,15,wls,E,,0
,1,,1,wls,0,1.0,1,2,S1_ideal,15,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,3,S1_ideal,15,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,4,S1_ideal,15,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,5,S1_ideal,15,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,6,S1_ideal,15,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,7,S1_ideal,15,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,8,S1_ideal,15,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,16,wls,E,,0
K2_ref,1,,1,wls,1,1.0,1,2,S1_ideal,16,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,16,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,16,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,16,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,16,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,16,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,16,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,17,wls,E,,0
k2_ref;K1_ref;K2_ref,1,,1,wls,3,1.0,1,2,S1_ideal,17,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,17,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,17,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,17,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,17,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,17,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,17,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,18,wls,E,,0
k2_ref;K1_ref,1,,1,wls,2,1.0,1,2,S1_ideal,18,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,3,S1_ideal,18,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,4,S1_ideal,18,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,5,S1_ideal,18,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,18,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,18,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,18,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,1,S1_ideal,19,wls,E,,0
,1,,1,wls,0,1.0,1,2,S1_ideal,19,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,19,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,19,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,19,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,19,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,19,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,19,wls,E,,0
K2_ref,1,,1,wls,1,1.0,1,1,S1_ideal,20,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,2,S1_ideal,20,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,20,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,20,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,20,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,20,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,20,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,20,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,1,S1_ideal,21,wls,E,,0
,1,,1,wls,0,1.0,1,2,S1_ideal,21,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,21,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,21,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,21,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,21,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,21,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,21,wls,E,,0
K2_ref,1,,1,wls,1,1.0,1,1,S1_ideal,22,wls,E,,0
K1_ref;K2_ref,1,,1,wls,2,1.0,1,2,S1_ideal,22,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,3,S1_ideal,22,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,4,S1_ideal,22,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,5,S1_ideal,22,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,6,S1_ideal,22,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,7,S1_ideal,22,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,8,S1_ideal,22,wls,E,,0
k2_ref,1,,1,wls,1,1.0,1,1,S1_ideal,23,wls,E,,0
k2_ref;K1_ref;K2_ref,1,,1,wls,3,1.0,1,2,S1_ideal,23,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,3,S1_ideal,23,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,23,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,23,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,23,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,23,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,23,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,24,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,2,S1_ideal,24,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,24,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,24,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,24,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,24,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,24,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,24,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,25,wls,E,,0
,1,,1,wls,0,1.0,1,2,S1_ideal,25,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,25,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,25,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,25,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,25,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,25,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,25,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,26,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,2,S1_ideal,26,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,3,S1_ideal,26,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,4,S1_ideal,26,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,26,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,26,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,26,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,26,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,27,wls,E,,0
,1,,1,wls,0,1.0,1,2,S1_ideal,27,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,27,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,27,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,27,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,27,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,27,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,27,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,28,wls,E,,0
,1,,1,wls,0,1.0,1,2,S1_ideal,28,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,28,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,28,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,28,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,28,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,28,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,28,wls,E,,0
K1_ref;K2_ref,1,,1,wls,2,1.0,1,1,S1_ideal,29,wls,E,,0
K1_ref;K2_ref,1,,1,wls,2,1.0,1,2,S1_ideal,29,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,29,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,29,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,29,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,29,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,29,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,29,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,30,wls,E,,0
,1,,1,wls,0,1.0,1,2,S1_ideal,30,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,30,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,30,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,30,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,30,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,30,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,30,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,31,wls,E,,0
,1,,1,wls,0,1.0,1,2,S1_ideal,31,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,31,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,31,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,31,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,31,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,31,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,31,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,32,wls,E,,0
,1,,1,wls,0,1.0,1,2,S1_ideal,32,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,3,S1_ideal,32,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,4,S1_ideal,32,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,5,S1_ideal,32,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,32,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,32,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,32,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,33,wls,E,,0
,1,,1,wls,0,1.0,1,2,S1_ideal,33,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,33,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,33,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,33,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,33,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,33,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,33,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,34,wls,E,,0
k2_ref;K1_ref;K2_ref,1,,1,wls,3,1.0,1,2,S1_ideal,34,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,34,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,34,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,5,S1_ideal,34,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,34,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,34,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,34,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,35,wls,E,,0
k2_ref,1,,1,wls,1,1.0,1,2,S1_ideal,35,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,35,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,35,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,35,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,35,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,35,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,35,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,36,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,2,S1_ideal,36,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,36,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,36,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,36,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,36,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,36,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,36,wls,E,,0
k2_ref;Ea2_J,1,,1,wls,2,1.0,1,1,S1_ideal,37,wls,E,,0
k2_ref,1,,1,wls,1,1.0,1,2,S1_ideal,37,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,37,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,37,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,37,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,37,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,37,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,37,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,38,wls,E,,0
,1,,1,wls,0,1.0,1,2,S1_ideal,38,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,3,S1_ideal,38,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,38,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,38,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,38,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,38,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,38,wls,E,,0
K1_ref;K2_ref,1,,1,wls,2,1.0,1,1,S1_ideal,39,wls,E,,0
,1,,1,wls,0,1.0,1,2,S1_ideal,39,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,3,S1_ideal,39,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,4,S1_ideal,39,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,39,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,39,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,39,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,39,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,40,wls,E,,0
,1,,1,wls,0,1.0,1,2,S1_ideal,40,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,40,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,40,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,5,S1_ideal,40,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,6,S1_ideal,40,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,40,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,40,wls,E,,0
,1,,1,rev-pitzer,0,1.0,1,1,S1_ideal,1,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,2,S1_ideal,1,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,3,S1_ideal,1,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,4,S1_ideal,1,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,5,S1_ideal,1,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,6,S1_ideal,1,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,7,S1_ideal,1,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,8,S1_ideal,1,rev-pitzer,F,,0
,0,"rev-pitzer: Laplace evidence is boundary-affected (pinned=(), bound-mass>0.05: ['k2_ref']); model probability is NOT reliable evidence.",1,rev-pitzer,0,1.0,0,1,S1_ideal,2,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,2,S1_ideal,2,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,3,S1_ideal,2,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,4,S1_ideal,2,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,5,S1_ideal,2,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,6,S1_ideal,2,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,7,S1_ideal,2,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,8,S1_ideal,2,rev-pitzer,F,,0
,0,"rev-pitzer: Laplace evidence is boundary-affected (pinned=(), bound-mass>0.05: ['k2_ref']); model probability is NOT reliable evidence.",1,rev-pitzer,0,1.0,0,1,S1_ideal,3,rev-pitzer,F,,0
,0,"rev-pitzer: Laplace evidence is boundary-affected (pinned=(), bound-mass>0.05: ['k2_ref']); model probability is NOT reliable evidence.",1,rev-pitzer,0,1.0,0,2,S1_ideal,3,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,3,S1_ideal,3,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,4,S1_ideal,3,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,5,S1_ideal,3,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,6,S1_ideal,3,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,7,S1_ideal,3,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,8,S1_ideal,3,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,1,S1_ideal,4,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,2,S1_ideal,4,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,3,S1_ideal,4,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,4,S1_ideal,4,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,5,S1_ideal,4,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,6,S1_ideal,4,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,7,S1_ideal,4,rev-pitzer,F,,0
,1,,1,rev-pitzer,0,1.0,1,8,S1_ideal,4,rev-pitzer,F,,0
